,day,month,days,is_it_job,seniority,company_code,country_code
11708,17,9,23.0,1,2.0,153,21
11709,22,9,18.0,0,3.0,153,21
11710,14,9,26.0,1,2.0,153,21
11711,14,9,26.0,0,4.0,153,21
11712,1,10,9.0,0,2.0,153,21
11713,30,9,10.0,1,2.0,153,21
11714,23,9,17.0,0,1.0,153,21
11715,16,9,24.0,1,2.0,153,21
11716,9,10,1.0,1,2.0,153,27
11717,12,9,28.0,1,2.0,153,13
11718,9,10,1.0,0,2.0,153,21
11719,26,9,14.0,1,2.0,153,116
11720,28,9,12.0,0,4.0,153,21
11721,26,9,14.0,1,2.0,153,116
11722,20,9,20.0,0,3.0,153,21
11723,23,9,17.0,0,4.0,153,116
11724,16,9,24.0,1,2.0,153,21
11725,9,10,1.0,0,1.0,153,21
11726,30,9,10.0,0,2.0,153,21
11727,17,9,23.0,0,4.0,153,116
11728,22,9,18.0,0,3.0,153,116
11729,1,10,9.0,0,3.0,153,21
11730,21,9,19.0,0,3.0,153,21
11731,11,9,28.0,0,3.0,153,116
11732,16,9,24.0,0,4.0,153,21
11733,22,9,18.0,0,3.0,153,21
11734,14,9,26.0,0,3.0,153,21
11735,18,9,22.0,0,2.0,153,21
11736,22,9,18.0,1,3.0,7,27
11737,21,7,81.0,1,2.0,7,27
11738,5,9,35.0,0,1.0,7,27
11739,1,10,9.0,0,3.0,7,27
11740,30,9,10.0,1,3.0,14,27
11741,30,9,10.0,1,3.0,14,27
11742,16,9,24.0,1,3.0,14,11
11743,1,9,39.0,0,3.0,14,91
11744,11,9,28.0,0,4.0,14,39
11745,14,9,26.0,1,2.0,14,84
11746,19,8,52.0,0,4.0,42,116
11747,1,10,9.0,1,3.0,49,27
11748,7,9,33.0,1,3.0,49,27
11749,8,10,2.0,0,3.0,161,27
11750,8,10,2.0,0,3.0,161,27
11751,15,8,56.0,1,2.0,71,103
11752,15,8,56.0,1,2.0,71,103
11753,21,8,50.0,0,3.0,71,103
11754,21,8,50.0,0,3.0,71,103
11755,17,9,23.0,0,3.0,127,27
11756,17,9,23.0,0,3.0,127,27
11757,10,9,28.0,1,1.0,23,27
11758,26,8,44.0,1,3.0,23,116
11759,18,9,21.0,1,2.0,23,27
11760,6,10,3.0,0,2.0,23,103
11761,6,10,3.0,0,3.0,23,103
11762,3,10,6.0,0,3.0,23,77
11763,1,10,8.0,0,3.0,23,116
11764,21,9,17.0,0,1.0,23,116
11766,11,9,27.0,0,2.0,23,116
11768,9,9,30.0,1,3.0,23,77
11769,5,9,33.0,0,3.0,23,95
11771,6,10,2.0,1,3.0,4,52
11772,26,9,13.0,1,2.0,153,39
11773,24,9,15.0,0,3.0,153,39
11774,16,9,23.0,0,2.0,153,116
11775,23,9,16.0,1,2.0,153,27
11776,30,9,9.0,0,2.0,153,116
11777,23,9,16.0,0,3.0,153,116
11778,29,9,10.0,1,2.0,153,27
11779,6,10,3.0,0,3.0,153,116
11780,16,9,23.0,1,2.0,153,116
11783,6,10,3.0,1,2.0,153,116
11785,3,10,6.0,0,2.0,153,116
11786,16,9,23.0,1,2.0,153,37
11787,30,9,9.0,1,2.0,153,116
11788,21,9,18.0,0,4.0,153,116
11789,15,9,24.0,1,2.0,153,116
11790,2,10,7.0,1,3.0,153,116
11791,3,10,6.0,0,2.0,153,116
11792,3,10,6.0,0,4.0,153,116
11793,19,9,19.0,1,2.0,153,116
11794,3,10,6.0,0,2.0,153,116
11795,24,9,15.0,0,3.0,153,116
11796,11,9,27.0,0,3.0,153,116
11797,5,10,4.0,0,3.0,6,116
11803,7,10,2.0,0,3.0,154,10
11804,1,10,8.0,0,4.0,53,48
11805,1,10,8.0,0,3.0,53,27
11806,1,10,8.0,0,3.0,53,27
11807,1,10,8.0,0,4.0,53,84
11808,1,10,8.0,1,3.0,53,27
11809,1,10,8.0,0,4.0,53,48
11810,1,10,8.0,0,4.0,53,48
11811,1,10,8.0,0,4.0,53,27
11812,1,10,8.0,0,4.0,53,27
11813,1,10,8.0,1,3.0,53,27
11814,1,10,8.0,1,3.0,53,27
11815,24,9,15.0,0,3.0,5,37
11816,24,9,15.0,0,3.0,167,27
11817,8,10,1.0,0,3.0,50,116
11818,30,9,9.0,1,3.0,50,116
11819,25,9,14.0,1,3.0,50,116
11820,8,10,1.0,0,3.0,50,116
11821,8,10,1.0,0,3.0,50,116
11822,8,10,1.0,0,3.0,50,116
11823,8,10,1.0,0,3.0,50,116
11824,30,9,9.0,0,3.0,50,116
11825,25,9,14.0,1,3.0,50,116
11826,3,10,6.0,1,3.0,50,116
11827,10,8,59.0,1,3.0,50,116
11828,29,9,10.0,0,3.0,50,116
11829,17,9,22.0,0,3.0,79,39
11830,17,9,22.0,0,3.0,79,39
11832,19,9,19.0,1,3.0,43,116
11833,5,9,33.0,0,3.0,43,116
11834,2,9,37.0,0,1.0,43,77
11835,2,10,7.0,1,2.0,43,27
11836,23,9,16.0,0,2.0,43,21
11837,11,9,27.0,0,2.0,43,78
11838,18,9,20.0,0,2.0,43,116
11839,29,8,41.0,0,2.0,43,37
11840,10,9,29.0,1,2.0,43,98
11841,14,9,24.0,0,2.0,125,16
11842,29,8,41.0,0,3.0,138,95
11843,30,9,9.0,1,3.0,138,27
11844,6,10,3.0,1,2.0,138,116
11845,9,9,30.0,0,2.0,138,5
11846,1,9,37.0,0,2.0,138,116
11848,4,9,35.0,1,3.0,138,116
11849,7,10,2.0,1,1.0,138,27
11850,30,9,9.0,1,3.0,138,116
11851,11,9,27.0,0,3.0,138,39
11852,16,9,23.0,1,4.0,138,116
11853,24,9,15.0,0,3.0,138,116
11854,18,9,21.0,0,2.0,138,116
11855,10,9,29.0,0,2.0,138,116
11856,7,9,32.0,1,3.0,138,5
11857,15,9,23.0,0,3.0,138,21
11858,2,10,7.0,1,2.0,138,116
11859,26,9,13.0,1,2.0,138,116
11860,18,9,21.0,0,4.0,138,77
11861,16,9,23.0,0,2.0,138,116
11862,14,9,24.0,0,3.0,138,5
11863,2,10,7.0,1,3.0,138,116
11864,1,10,8.0,1,3.0,138,116
11865,29,8,41.0,0,2.0,138,116
11866,18,9,20.0,0,3.0,138,116
11867,3,10,6.0,1,2.0,138,39
11868,2,10,7.0,0,3.0,138,116
11869,11,9,27.0,1,1.0,45,27
11870,11,9,27.0,1,1.0,45,27
11871,11,9,27.0,0,1.0,45,27
11872,11,9,27.0,0,1.0,45,27
11873,29,9,10.0,0,2.0,45,116
11874,11,9,27.0,1,1.0,45,27
11875,11,9,27.0,1,1.0,45,27
11876,23,9,16.0,1,2.0,45,27
11877,23,9,16.0,1,2.0,45,27
11879,11,9,27.0,1,1.0,45,27
11880,11,9,27.0,1,1.0,45,27
11881,10,9,29.0,0,2.0,45,116
11882,5,10,4.0,1,2.0,45,52
11883,1,10,8.0,0,3.0,45,116
11884,11,9,27.0,0,1.0,45,27
11885,11,9,27.0,0,1.0,45,27
11886,10,9,29.0,1,3.0,45,116
11887,11,9,27.0,0,3.0,45,27
11888,11,9,27.0,0,3.0,45,27
11889,8,9,30.0,1,2.0,132,27
11890,18,9,21.0,0,2.0,132,13
11891,17,9,22.0,1,2.0,132,10
11892,2,10,7.0,0,4.0,132,102
11893,23,9,16.0,0,4.0,132,116
11894,26,9,13.0,1,3.0,132,116
11895,7,10,2.0,0,2.0,100,52
11896,7,10,2.0,0,1.0,100,52
11897,15,9,23.0,1,2.0,100,34
11898,7,10,2.0,1,2.0,100,52
11899,30,9,9.0,1,4.0,100,116
11900,21,9,17.0,1,1.0,124,27
11901,21,9,17.0,1,2.0,124,27
11902,21,9,17.0,1,1.0,124,27
11903,1,9,37.0,0,3.0,81,21
11904,22,9,17.0,0,2.0,81,4
11905,1,10,8.0,0,3.0,81,27
11906,1,10,8.0,0,3.0,81,27
11907,11,9,27.0,0,3.0,81,6
11908,16,9,22.0,0,3.0,21,27
11909,11,9,27.0,1,1.0,21,27
11910,16,9,22.0,0,2.0,21,27
11911,14,9,24.0,1,3.0,21,27
11912,7,10,2.0,0,3.0,172,27
11913,7,10,2.0,0,3.0,172,27
11914,7,9,32.0,0,3.0,172,27
11915,7,9,32.0,0,3.0,172,27
11916,3,9,35.0,1,2.0,172,27
11917,3,9,35.0,1,2.0,172,27
11918,17,7,83.0,1,3.0,172,27
11919,17,7,83.0,1,3.0,172,27
11920,20,8,49.0,1,3.0,27,78
11921,24,9,14.0,0,3.0,27,103
11922,24,9,14.0,0,3.0,27,103
11923,21,9,18.0,0,4.0,27,103
11924,21,9,18.0,0,4.0,27,103
11926,21,9,18.0,0,3.0,27,103
11927,21,9,18.0,0,3.0,27,103
11928,10,9,29.0,0,3.0,14,52
11929,8,9,31.0,0,3.0,14,52
11930,26,9,13.0,1,3.0,14,39
11931,11,9,27.0,0,2.0,14,52
11932,29,9,10.0,0,2.0,14,10
11933,28,9,10.0,1,3.0,14,116
11934,30,9,9.0,1,4.0,14,116
11935,26,9,13.0,1,2.0,14,116
11936,14,9,24.0,0,3.0,14,39
11937,8,10,1.0,0,3.0,14,116
11938,6,10,3.0,0,3.0,14,10
11939,25,9,14.0,0,3.0,14,116
11940,24,9,15.0,1,3.0,14,39
11941,11,9,27.0,0,2.0,14,52
11942,11,9,27.0,0,2.0,14,116
11943,4,8,65.0,1,4.0,14,116
11944,8,9,30.0,1,2.0,14,39
11945,19,8,51.0,0,2.0,14,27
11946,10,9,29.0,0,2.0,14,52
11947,26,9,13.0,0,2.0,14,57
11948,11,9,27.0,0,2.0,14,17
11949,8,8,62.0,0,3.0,14,39
11950,3,10,6.0,1,2.0,14,10
11951,7,10,1.0,0,3.0,14,27
11952,1,8,69.0,1,3.0,103,116
11953,10,6,121.0,0,3.0,103,116
11954,20,7,80.0,0,4.0,103,116
11955,29,7,71.0,1,3.0,103,116
11956,3,9,36.0,0,3.0,103,116
11957,27,8,42.0,0,2.0,103,116
11958,20,8,49.0,0,3.0,103,116
11959,20,7,80.0,1,3.0,103,116
11960,26,9,13.0,1,2.0,103,116
